"UHF_id","total_population"
101,146512
102,435641
103,865965
104,4327089
105,6107018
106,590294
107,229866
201,39669
202,391246
203,657797
204,909312
205,5362789
206,244529
207,10091808
208,9976408
209,528162
210,556034
211,7137499
301,982647
302,253677
303,8424430
304,13446123
305,279085
306,964569
307,132772
308,341815
309,10835905
310,344241
401,1289496
402,289463
403,0
405,3246789
406,42362
407,1110558
408,1999575
409,81137
410,214217
501,424157
502,1530284
503,93736
504,183675
